id,created_at,text
821344303763038208,2017-01-17 13:11:56,"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before."
821342602079440896,2017-01-17 13:05:10,"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!"
821177309008891904,2017-01-17 02:08:21,"""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class."""
821172597157220352,2017-01-17 01:49:38,"At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!"
821170752946896899,2017-01-17 01:42:18,"""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."" Very dishonest media!"
820992722412642305,2017-01-16 13:54:52,Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!
820789940137197569,2017-01-16 00:29:05,"much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?"
820786731628761089,2017-01-16 00:16:20,".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do..."
820764136128872454,2017-01-15 22:46:33,".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!"
820723389715378176,2017-01-15 20:04:39,"Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)..."
820707212423266305,2017-01-15 19:00:22,"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!"
820632300622934016,2017-01-15 14:02:41,"will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!"
820631497522692101,2017-01-15 13:59:30,"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number.."
820450167828742146,2017-01-15 01:58:57,"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!"
820425772276084736,2017-01-15 00:22:01,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!
820257716073615360,2017-01-14 13:14:13,"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN"
820255949663375360,2017-01-14 13:07:12,"mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!"
820251732131332096,2017-01-14 12:50:27,"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......"
819869955118235649,2017-01-13 11:33:24,"The ""Unaffordable"" Care Act will soon be history!"
819868068021227525,2017-01-13 11:25:54,have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!
819867247984394241,2017-01-13 11:22:38,What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....
819865805215166464,2017-01-13 11:16:54,"released by ""Intelligence"" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!"
819864375448244224,2017-01-13 11:11:14,"Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably..."
819863041395277824,2017-01-13 11:05:56,It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....
819858928121085952,2017-01-13 10:49:35,"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!"
819550084987813888,2017-01-12 14:22:21,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!
